CA: ['3', ' 51', ' 51', ' 17'] : 100 : Isomorphic CA: [3, 51, 51, 17]
CA: ['3', ' 51', ' 51', ' 20'] : 100 : Isomorphic CA: [3, 51, 51, 65]
CA: ['3', ' 51', ' 51', ' 65'] : 100 : Isomorphic CA: [3, 51, 51, 20]
CA: ['3', ' 51', ' 51', ' 68'] : 100 : Isomorphic CA: [3, 51, 51, 68]
CA: ['3', ' 51', ' 204', ' 17'] : 100 : Isomorphic CA: [3, 51, 204, 17]
CA: ['3', ' 51', ' 204', ' 20'] : 100 : Isomorphic CA: [3, 51, 204, 20]
CA: ['3', ' 51', ' 204', ' 65'] : 100 : Isomorphic CA: [3, 51, 204, 65]
CA: ['3', ' 51', ' 204', ' 68'] : 100 : Isomorphic CA: [3, 51, 204, 68]
CA: ['3', ' 51', ' 60', ' 17'] : 100 : Isomorphic CA: [3, 51, 195, 17]
CA: ['3', ' 51', ' 60', ' 68'] : 100 : Isomorphic CA: [3, 51, 195, 68]
CA: ['3', ' 51', ' 195', ' 17'] : 100 : Isomorphic CA: [3, 51, 60, 17]
CA: ['3', ' 51', ' 195', ' 68'] : 100 : Isomorphic CA: [3, 51, 60, 68]
CA: ['3', ' 51', ' 85', ' 5'] : 100 : Isomorphic CA: [3, 51, 85, 5]
CA: ['3', ' 51', ' 85', ' 20'] : 100 : Isomorphic CA: [3, 51, 153, 5]
CA: ['3', ' 51', ' 85', ' 65'] : 100 : Isomorphic CA: [3, 51, 102, 5]
CA: ['3', ' 51', ' 85', ' 80'] : 100 : Isomorphic CA: [3, 51, 170, 5]
CA: ['3', ' 51', ' 170', ' 5'] : 100 : Isomorphic CA: [3, 51, 85, 80]
CA: ['3', ' 51', ' 170', ' 20'] : 100 : Isomorphic CA: [3, 51, 102, 80]
CA: ['3', ' 51', ' 170', ' 65'] : 100 : Isomorphic CA: [3, 51, 153, 80]
CA: ['3', ' 51', ' 170', ' 80'] : 100 : Isomorphic CA: [3, 51, 170, 80]
CA: ['3', ' 51', ' 102', ' 5'] : 100 : Isomorphic CA: [3, 51, 85, 65]
CA: ['3', ' 51', ' 102', ' 17'] : 100 : Isomorphic CA: [3, 51, 153, 17]
CA: ['3', ' 51', ' 102', ' 68'] : 100 : Isomorphic CA: [3, 51, 102, 68]
CA: ['3', ' 51', ' 102', ' 80'] : 100 : Isomorphic CA: [3, 51, 170, 20]
CA: ['3', ' 51', ' 105', ' 17'] : 100 : Isomorphic CA: [3, 51, 105, 17]
CA: ['3', ' 51', ' 105', ' 68'] : 100 : Isomorphic CA: [3, 51, 150, 68]
CA: ['3', ' 51', ' 150', ' 17'] : 100 : Isomorphic CA: [3, 51, 150, 17]
CA: ['3', ' 51', ' 150', ' 68'] : 100 : Isomorphic CA: [3, 51, 105, 68]
CA: ['3', ' 51', ' 153', ' 5'] : 100 : Isomorphic CA: [3, 51, 85, 20]
CA: ['3', ' 51', ' 153', ' 17'] : 100 : Isomorphic CA: [3, 51, 102, 17]
CA: ['3', ' 51', ' 153', ' 68'] : 100 : Isomorphic CA: [3, 51, 153, 68]
CA: ['3', ' 51', ' 153', ' 80'] : 100 : Isomorphic CA: [3, 51, 170, 65]
CA: ['3', ' 51', ' 54', ' 17'] : 100 : Isomorphic CA: [3, 51, 147, 17]
CA: ['3', ' 51', ' 54', ' 68'] : 100 : Isomorphic CA: [3, 51, 99, 68]
CA: ['3', ' 51', ' 57', ' 17'] : 100 : Isomorphic CA: [3, 51, 99, 17]
CA: ['3', ' 51', ' 57', ' 68'] : 100 : Isomorphic CA: [3, 51, 147, 68]
CA: ['3', ' 51', ' 99', ' 17'] : 100 : Isomorphic CA: [3, 51, 57, 17]
CA: ['3', ' 51', ' 99', ' 68'] : 100 : Isomorphic CA: [3, 51, 54, 68]
CA: ['3', ' 51', ' 108', ' 17'] : 100 : Isomorphic CA: [3, 51, 201, 17]
CA: ['3', ' 51', ' 108', ' 68'] : 100 : Isomorphic CA: [3, 51, 198, 68]
CA: ['3', ' 51', ' 147', ' 17'] : 100 : Isomorphic CA: [3, 51, 54, 17]
