CA: ['3', ' 51', ' 51', ' 17'] : 100 : Isomorphic CA: [3, 51, 51, 17]
CA: ['3', ' 51', ' 51', ' 20'] : 100 : Isomorphic CA: [3, 51, 51, 65]
CA: ['3', ' 51', ' 51', ' 65'] : 100 : Isomorphic CA: [3, 51, 51, 20]
CA: ['3', ' 51', ' 51', ' 68'] : 100 : Isomorphic CA: [3, 51, 51, 68]
CA: ['3', ' 51', ' 204', ' 17'] : 100 : Isomorphic CA: [3, 51, 204, 17]
CA: ['3', ' 51', ' 204', ' 20'] : 100 : Isomorphic CA: [3, 51, 204, 20]
CA: ['3', ' 51', ' 204', ' 65'] : 100 : Isomorphic CA: [3, 51, 204, 65]
CA: ['3', ' 51', ' 204', ' 68'] : 100 : Isomorphic CA: [3, 51, 204, 68]
CA: ['3', ' 51', ' 60', ' 17'] : 100 : Isomorphic CA: [3, 51, 195, 17]
CA: ['3', ' 51', ' 60', ' 68'] : 100 : Isomorphic CA: [3, 51, 195, 68]
CA: ['9', ' 240', ' 170', ' 80'] : 100 : Isomorphic CA: [10, 195, 170, 80]
