CA: ['3', ' 51', ' 51', ' 17'] : 000
CA: ['3', ' 51', ' 51', ' 20'] : 000
CA: ['3', ' 51', ' 51', ' 65'] : 000
CA: ['3', ' 51', ' 51', ' 68'] : 000
CA: ['3', ' 51', ' 204', ' 17'] : 000
CA: ['3', ' 51', ' 204', ' 20'] : 000
CA: ['3', ' 51', ' 204', ' 65'] : 000
CA: ['3', ' 51', ' 204', ' 68'] : 000
CA: ['3', ' 51', ' 60', ' 17'] : 000
CA: ['3', ' 51', ' 60', ' 20'] : 000
CA: ['3', ' 51', ' 60', ' 65'] : 000
CA: ['3', ' 51', ' 60', ' 68'] : 000
CA: ['3', ' 51', ' 195', ' 17'] : 000
CA: ['3', ' 51', ' 195', ' 20'] : 000
CA: ['3', ' 51', ' 195', ' 65'] : 000
CA: ['3', ' 51', ' 195', ' 68'] : 000
CA: ['3', ' 51', ' 85', ' 5'] : 000
CA: ['3', ' 51', ' 85', ' 20'] : 000
CA: ['3', ' 51', ' 85', ' 65'] : 000
CA: ['3', ' 51', ' 85', ' 80'] : 000
CA: ['3', ' 51', ' 90', ' 5'] : 000
CA: ['3', ' 51', ' 90', ' 20'] : 000
CA: ['3', ' 51', ' 90', ' 65'] : 000
CA: ['3', ' 51', ' 90', ' 80'] : 000
CA: ['3', ' 51', ' 165', ' 5'] : 000
CA: ['3', ' 51', ' 165', ' 20'] : 000
CA: ['3', ' 51', ' 165', ' 65'] : 000
CA: ['3', ' 51', ' 165', ' 80'] : 000
CA: ['3', ' 51', ' 170', ' 5'] : 000
CA: ['3', ' 51', ' 170', ' 20'] : 000
CA: ['3', ' 51', ' 170', ' 65'] : 000
CA: ['3', ' 51', ' 170', ' 80'] : 000
CA: ['3', ' 51', ' 102', ' 5'] : 000
CA: ['3', ' 51', ' 102', ' 17'] : 000
CA: ['3', ' 51', ' 102', ' 68'] : 000
CA: ['3', ' 51', ' 102', ' 80'] : 000
CA: ['3', ' 51', ' 105', ' 5'] : 000
CA: ['3', ' 51', ' 105', ' 17'] : 000
CA: ['3', ' 51', ' 105', ' 68'] : 000
CA: ['3', ' 51', ' 105', ' 80'] : 000
CA: ['3', ' 51', ' 150', ' 5'] : 000
CA: ['3', ' 51', ' 150', ' 17'] : 000
CA: ['3', ' 51', ' 150', ' 68'] : 000
CA: ['3', ' 51', ' 150', ' 80'] : 000
CA: ['3', ' 51', ' 153', ' 5'] : 000
CA: ['3', ' 51', ' 153', ' 17'] : 000
CA: ['3', ' 51', ' 153', ' 68'] : 000
CA: ['3', ' 51', ' 153', ' 80'] : 000
CA: ['3', ' 51', ' 53', ' 20'] : 000
CA: ['3', ' 51', ' 53', ' 65'] : 000
CA: ['3', ' 51', ' 58', ' 20'] : 000
CA: ['3', ' 51', ' 58', ' 65'] : 000
CA: ['3', ' 51', ' 83', ' 20'] : 000
CA: ['3', ' 51', ' 83', ' 65'] : 000
CA: ['3', ' 51', ' 92', ' 20'] : 000
CA: ['3', ' 51', ' 92', ' 65'] : 000
CA: ['3', ' 51', ' 163', ' 20'] : 000
CA: ['3', ' 51', ' 163', ' 65'] : 000
CA: ['3', ' 51', ' 172', ' 20'] : 000
CA: ['3', ' 51', ' 172', ' 65'] : 000
CA: ['3', ' 51', ' 197', ' 20'] : 000
CA: ['3', ' 51', ' 197', ' 65'] : 000
CA: ['3', ' 51', ' 202', ' 20'] : 000
CA: ['3', ' 51', ' 202', ' 65'] : 000
CA: ['3', ' 51', ' 54', ' 17'] : 000
CA: ['3', ' 51', ' 54', ' 68'] : 000
CA: ['3', ' 51', ' 57', ' 17'] : 000
CA: ['3', ' 51', ' 57', ' 68'] : 000
CA: ['3', ' 51', ' 99', ' 17'] : 000
CA: ['3', ' 51', ' 99', ' 68'] : 000
CA: ['3', ' 51', ' 108', ' 17'] : 000
CA: ['3', ' 51', ' 108', ' 68'] : 000
CA: ['3', ' 51', ' 147', ' 17'] : 000
CA: ['3', ' 51', ' 147', ' 68'] : 000
CA: ['3', ' 51', ' 156', ' 17'] : 000
CA: ['3', ' 51', ' 156', ' 68'] : 000
CA: ['3', ' 51', ' 198', ' 17'] : 000
CA: ['3', ' 51', ' 198', ' 68'] : 000
CA: ['3', ' 51', ' 201', ' 17'] : 000
CA: ['3', ' 51', ' 201', ' 68'] : 000
CA: ['3', ' 51', ' 86', ' 5'] : 000
CA: ['3', ' 51', ' 86', ' 80'] : 000
CA: ['3', ' 51', ' 89', ' 5'] : 000
CA: ['3', ' 51', ' 89', ' 80'] : 000
CA: ['3', ' 51', ' 101', ' 5'] : 000
CA: ['3', ' 51', ' 101', ' 80'] : 000
CA: ['3', ' 51', ' 106', ' 5'] : 000
CA: ['3', ' 51', ' 106', ' 80'] : 000
CA: ['3', ' 51', ' 149', ' 5'] : 000
CA: ['3', ' 51', ' 149', ' 80'] : 000
CA: ['3', ' 51', ' 154', ' 5'] : 000
CA: ['3', ' 51', ' 154', ' 80'] : 000
CA: ['3', ' 51', ' 166', ' 5'] : 000
CA: ['3', ' 51', ' 166', ' 80'] : 000
CA: ['3', ' 51', ' 169', ' 5'] : 000
CA: ['3', ' 51', ' 169', ' 80'] : 000
CA: ['3', ' 204', ' 51', ' 17'] : 000
CA: ['3', ' 204', ' 51', ' 20'] : 000
CA: ['3', ' 204', ' 51', ' 65'] : 000
CA: ['3', ' 204', ' 51', ' 68'] : 000
